timestamp	device	q0	q1	q2	q3	yaw	pitch	roll	left_knee_deg	right_knee_deg
2026-07-01T22:47:23.3211717+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:47:23.3876549+08:00	0x02	0.6076	0.2407	-0.7399	-0.1595	147.61	278.49	9.35	0.00	0.00
2026-07-01T22:47:23.4041711+08:00	0x07	-0.5324	-0.4384	0.5666	-0.4510	191.95	283.20	77.67	0.00	0.00
2026-07-01T22:47:23.4877312+08:00	0x08	0.0057	-0.7184	-0.0778	-0.6913	5.74	91.86	353.13	0.00	0.00
2026-07-01T22:47:23.6043505+08:00	0x03	-0.4147	0.3545	0.7417	0.3901	147.35	320.08	301.85	0.00	0.00
2026-07-01T22:47:23.6709071+08:00	0x06	0.2118	-0.6661	-0.2284	-0.6777	1.95	88.38	323.75	0.00	0.00
2026-07-01T22:47:23.7875044+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:47:23.9544468+08:00	0x07	-0.5315	-0.4417	0.5639	-0.4521	191.36	282.63	78.17	0.00	0.00
2026-07-01T22:47:23.9878135+08:00	0x01	-0.5820	-0.1504	0.7790	-0.1784	186.59	288.00	26.23	0.00	0.00
2026-07-01T22:47:24.0204289+08:00	0x06	0.2085	-0.6671	-0.2243	-0.6791	1.86	88.39	324.38	0.00	0.00
2026-07-01T22:47:24.1379497+08:00	0x04	0.3563	0.1923	-0.3326	0.8517	320.70	7.67	47.30	0.00	0.00
2026-07-01T22:47:24.1714569+08:00	0x03	-0.0295	0.4637	0.4511	0.7619	48.15	50.12	332.39	0.00	0.00
2026-07-01T22:47:24.2139870+08:00	0x08	0.0248	-0.7187	-0.0961	-0.6882	5.63	92.00	350.08	0.00	0.00
2026-07-01T22:47:24.3709939+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:47:24.4513315+08:00	0x01	-0.0944	-0.4270	0.4864	-0.7564	307.83	41.90	33.93	0.00	0.00
2026-07-01T22:47:24.5543409+08:00	0x07	-0.5276	-0.4474	0.5591	-0.4570	192.07	283.34	79.27	0.00	0.00
2026-07-01T22:47:24.5712963+08:00	0x04	0.3472	0.2065	-0.2963	0.8654	327.64	12.69	46.33	0.00	0.00
2026-07-01T22:47:24.6205661+08:00	0x06	0.2080	-0.6681	-0.2227	-0.6788	1.72	88.54	324.56	0.00	0.00
2026-07-01T22:47:24.7117784+08:00	0x03	-0.0157	0.4633	0.4373	0.7706	46.90	50.85	334.57	0.00	0.00
2026-07-01T22:47:24.9875611+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:47:25.0545335+08:00	0x02	0.1657	0.4520	-0.6705	0.5645	274.33	28.24	52.48	0.00	0.00
2026-07-01T22:47:25.1141420+08:00	0x06	0.2073	-0.6679	-0.2223	-0.6794	1.76	88.46	324.65	0.00	0.00
2026-07-01T22:47:25.2213709+08:00	0x03	-0.0156	0.4625	0.4376	0.7710	46.96	50.74	334.61	0.00	0.00
2026-07-01T22:47:25.2384634+08:00	0x07	-0.5253	-0.4500	0.5569	-0.4598	192.86	284.11	79.83	0.00	0.00
2026-07-01T22:47:25.5217282+08:00	0x01	-0.0681	-0.4318	0.4590	-0.7735	311.16	44.41	30.12	0.00	0.00
2026-07-01T22:47:25.5875955+08:00	0x07	-0.5221	-0.4543	0.5533	-0.4636	193.79	285.06	80.67	0.00	0.00
2026-07-01T22:47:25.6713358+08:00	0x08	0.0512	-0.7172	-0.1210	-0.6844	5.46	92.00	345.90	0.00	0.00
2026-07-01T22:47:25.6884111+08:00	0x06	0.2070	-0.6678	-0.2217	-0.6797	1.75	88.43	324.73	0.00	0.00
2026-07-01T22:47:25.7552044+08:00	0x03	-0.0126	0.4631	0.4369	0.7711	46.97	50.93	334.91	0.00	0.00
2026-07-01T22:47:26.0381966+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	0.00	0.00
2026-07-01T22:47:26.0952588+08:00	0x01	-0.0614	-0.4340	0.4448	-0.7810	312.93	45.35	28.81	0.00	0.00
2026-07-01T22:47:26.1611938+08:00	0x07	-0.5177	-0.4589	0.5494	-0.4684	195.79	287.07	81.64	0.00	0.00
2026-07-01T22:47:26.2057402+08:00	0x06	0.2075	-0.6667	-0.2229	-0.6802	1.87	88.25	324.58	0.00	0.00
2026-07-01T22:47:26.3315858+08:00	0x03	-0.0125	0.4636	0.4394	0.7694	47.28	50.94	334.74	2.02	5.28
2026-07-01T22:47:26.5387996+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	2.85	6.30
2026-07-01T22:47:26.6210586+08:00	0x07	-0.5136	-0.4612	0.5478	-0.4727	199.14	290.44	82.23	2.98	6.38
2026-07-01T22:47:26.7214747+08:00	0x02	0.1326	0.4543	-0.6392	0.6061	282.72	34.64	47.87	3.39	6.42
2026-07-01T22:47:26.7719945+08:00	0x06	0.2066	-0.6646	-0.2236	-0.6824	2.15	87.79	324.62	3.52	6.42
2026-07-01T22:47:26.8434842+08:00	0x03	-0.0146	0.4629	0.4417	0.7684	47.51	50.73	334.44	3.62	6.43
2026-07-01T22:47:26.9387937+08:00	0x04	0.3329	0.2268	-0.2360	0.8843	338.23	19.86	44.09	3.72	6.44
2026-07-01T22:47:27.1300025+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	3.80	6.44
2026-07-01T22:47:27.1891503+08:00	0x01	-0.0576	-0.4362	0.4388	-0.7835	313.66	45.93	28.24	3.82	6.44
2026-07-01T22:47:27.2438990+08:00	0x08	0.0610	-0.7124	-0.1299	-0.6869	5.45	91.34	344.40	3.82	6.44
2026-07-01T22:47:27.2877702+08:00	0x02	0.1217	0.4598	-0.6287	0.6152	285.21	37.02	46.71	3.83	7.07
2026-07-01T22:47:27.3519396+08:00	0x06	0.2055	-0.6636	-0.2230	-0.6838	2.27	87.56	324.76	3.83	7.43
2026-07-01T22:47:27.3934518+08:00	0x03	-0.0160	0.4602	0.4431	0.7691	47.71	50.30	334.38	3.80	7.63
2026-07-01T22:47:27.6547624+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	3.72	7.95
2026-07-01T22:47:27.7061221+08:00	0x07	-0.5071	-0.4657	0.5443	-0.4794	204.93	296.28	83.24	3.71	7.96
2026-07-01T22:47:27.7716301+08:00	0x01	-0.0548	-0.4367	0.4291	-0.7888	314.85	46.33	27.46	4.11	7.96
2026-07-01T22:47:27.8712665+08:00	0x06	0.2048	-0.6638	-0.2220	-0.6842	2.24	87.55	324.90	4.48	7.97
2026-07-01T22:47:27.9057168+08:00	0x03	-0.0159	0.4571	0.4445	0.7702	47.96	49.87	334.48	4.53	7.97
2026-07-01T22:47:28.2049044+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	4.73	7.97
2026-07-01T22:47:28.2388382+08:00	0x07	-0.5064	-0.4677	0.5425	-0.4800	204.88	296.24	83.57	4.74	7.97
2026-07-01T22:47:28.2936981+08:00	0x01	-0.0579	-0.4359	0.4248	-0.7913	315.49	46.25	27.51	4.82	7.97
2026-07-01T22:47:28.3879421+08:00	0x02	0.1213	0.4597	-0.6259	0.6182	285.77	37.25	46.51	4.93	7.97
2026-07-01T22:47:28.5172649+08:00	0x03	-0.0141	0.4616	0.4440	0.7679	47.85	50.52	334.43	5.00	7.97
2026-07-01T22:47:28.7886496+08:00	0x09	0.0785	0.5647	-0.2558	0.7807	340.07	67.43	24.30	5.05	7.97
2026-07-01T22:47:28.8582082+08:00	0x04	0.3211	0.2328	-0.2153	0.8924	341.49	22.03	42.32	5.06	7.97
2026-07-01T22:47:28.9070829+08:00	0x02	0.1207	0.4638	-0.6219	0.6193	286.69	38.12	46.58	5.06	7.97
2026-07-01T22:47:28.9882565+08:00	0x03	-0.0230	0.4559	0.4489	0.7682	48.29	49.37	333.61	5.06	7.97
2026-07-01T22:47:29.0219343+08:00	0x01	-0.0584	-0.4355	0.4211	-0.7935	315.97	46.28	27.35	5.06	7.97
