timestamp	device	q0	q1	q2	q3	yaw	pitch	roll	left_knee_flexion_deg	left_knee_included_deg	right_knee_flexion_deg	right_knee_included_deg
2026-07-02T13:32:50.9919816+08:00	0x01	-0.5698	-0.1529	0.7516	-0.2950	199.06	291.63	34.47	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.0471263+08:00	0x09	0.5035	0.5228	-0.5176	0.4531	126.79	221.60	85.89	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.0820337+08:00	0x04	0.5578	0.1433	-0.5520	0.6030	245.38	307.23	56.19	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.2265345+08:00	0x06	-0.3303	0.5784	0.3099	0.6785	3.73	79.00	306.23	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.3648062+08:00	0x03	-0.3729	0.3941	0.5325	0.6497	68.74	15.61	295.28	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.3835676+08:00	0x08	-0.1713	0.6945	0.2162	0.6645	3.34	91.58	328.13	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.4651464+08:00	0x01	-0.5727	-0.1515	0.7474	-0.3007	199.64	291.29	34.82	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.4978888+08:00	0x02	-0.5915	-0.1243	0.6957	0.3882	134.18	286.33	343.37	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.5862276+08:00	0x09	0.4349	0.5944	-0.4367	0.5166	15.31	109.91	75.57	0.00	180.00	0.00	180.00
2026-07-02T13:32:51.6429312+08:00	0x04	0.5578	0.1438	-0.5495	0.6052	245.86	307.46	56.42	0.00	180.00	7.76	172.24
2026-07-02T13:32:51.7763374+08:00	0x07	0.3310	0.5210	-0.4079	0.6728	335.53	61.09	60.50	0.00	180.00	7.76	172.24
2026-07-02T13:32:51.7911684+08:00	0x06	-0.2960	0.6370	0.2570	0.6637	357.02	88.91	313.92	0.00	180.00	7.76	172.24
2026-07-02T13:32:51.8662834+08:00	0x08	-0.3752	0.6106	0.4151	0.5604	1.06	94.20	291.95	0.00	180.00	7.76	172.24
2026-07-02T13:32:51.9439661+08:00	0x03	-0.3745	0.3949	0.5367	0.6448	70.11	14.74	294.93	0.00	180.00	7.76	172.24
2026-07-02T13:32:52.0774852+08:00	0x01	-0.2983	-0.3152	0.6706	-0.6017	262.89	358.10	51.41	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.1263112+08:00	0x09	0.3803	0.6254	-0.3883	0.5598	5.72	100.03	65.72	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.1770634+08:00	0x04	0.4176	0.1162	-0.6681	0.6048	251.24	326.23	41.33	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.3268017+08:00	0x07	-0.1467	0.6758	0.0802	0.7179	354.97	87.36	341.40	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.4271034+08:00	0x03	-0.1177	0.4655	0.4478	0.7542	44.73	47.92	323.52	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.5433151+08:00	0x01	-0.2368	-0.3415	0.6468	-0.6395	274.39	11.26	48.13	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.6646925+08:00	0x09	0.3439	0.6511	-0.3500	0.5791	4.68	99.33	58.66	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.7435537+08:00	0x04	0.3922	0.1737	-0.5583	0.7102	276.00	343.17	48.68	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.7833302+08:00	0x02	-0.4105	-0.3257	0.8046	-0.2792	196.07	313.28	48.88	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.8440159+08:00	0x07	-0.1120	0.6839	0.0475	0.7194	355.00	87.68	346.93	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.8878974+08:00	0x06	-0.2640	0.6555	0.2253	0.6707	356.69	89.92	319.50	7.76	172.24	7.76	172.24
2026-07-02T13:32:52.9638730+08:00	0x03	-0.1134	0.4646	0.4439	0.7578	44.37	48.04	324.24	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.1478908+08:00	0x01	-0.2253	-0.3483	0.6149	-0.6707	282.03	16.16	46.93	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.1744554+08:00	0x02	-0.3891	-0.3302	0.8110	-0.2860	198.49	317.28	49.30	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.3252453+08:00	0x09	0.3227	0.6643	-0.3301	0.5879	4.05	99.09	54.88	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.3612940+08:00	0x07	-0.0724	0.6914	0.0053	0.7188	354.66	88.07	353.60	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.4511569+08:00	0x06	-0.2551	0.6596	0.2152	0.6734	356.56	90.03	321.13	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.5281834+08:00	0x03	-0.1100	0.4624	0.4353	0.7646	43.37	48.12	325.19	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.7349317+08:00	0x01	-0.2219	-0.3502	0.6017	-0.6826	284.90	17.83	46.43	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.7941960+08:00	0x09	0.3188	0.6654	-0.3288	0.5895	3.62	98.78	54.43	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.9151763+08:00	0x07	-0.0482	0.6940	-0.0209	0.7181	354.43	88.16	357.70	7.76	172.24	7.76	172.24
2026-07-02T13:32:53.9819283+08:00	0x06	-0.2489	0.6618	0.2081	0.6759	356.51	89.99	322.27	7.76	172.24	7.76	172.24
2026-07-02T13:32:54.0333560+08:00	0x03	-0.1053	0.4624	0.4283	0.7692	42.59	48.47	326.08	7.76	172.24	7.76	172.24
2026-07-02T13:32:54.1435080+08:00	0x08	-0.3635	0.6414	0.3836	0.5562	354.88	101.32	296.31	4.74	175.26	9.73	170.27
2026-07-02T13:32:54.3232690+08:00	0x01	-0.2203	-0.3542	0.5920	-0.6896	287.01	19.25	46.31	4.74	175.26	12.69	167.31
2026-07-02T13:32:54.3445092+08:00	0x09	0.3254	0.6613	-0.3362	0.5862	3.68	98.84	55.72	4.74	175.26	12.69	167.31
2026-07-02T13:32:54.4493150+08:00	0x07	-0.0290	0.6942	-0.0414	0.7180	354.28	88.02	0.90	4.74	175.26	12.64	167.36
2026-07-02T13:32:54.4729354+08:00	0x04	0.3314	0.2512	-0.3820	0.8253	316.47	13.86	47.64	4.82	175.18	12.64	167.36
2026-07-02T13:32:54.5827980+08:00	0x03	-0.1036	0.4624	0.4247	0.7714	42.17	48.62	326.46	4.82	175.18	12.64	167.36
2026-07-02T13:32:54.7104360+08:00	0x08	-0.4097	0.6201	0.4111	0.5278	347.21	108.24	289.54	4.82	175.18	12.64	167.36
2026-07-02T13:32:54.8439519+08:00	0x01	-0.2245	-0.3611	0.5689	-0.7039	291.52	21.62	46.64	4.82	175.18	13.72	166.28
2026-07-02T13:32:54.9100579+08:00	0x09	0.3350	0.6550	-0.3469	0.5818	3.77	98.85	57.58	4.82	175.18	13.72	166.28
2026-07-02T13:32:54.9381134+08:00	0x04	0.3335	0.2490	-0.3876	0.8225	315.33	13.02	47.87	4.82	175.18	13.63	166.37
2026-07-02T13:32:55.0100316+08:00	0x07	-0.0019	0.6883	-0.0663	0.7224	354.33	86.97	5.08	4.82	175.18	13.63	166.37
2026-07-02T13:32:55.1156941+08:00	0x03	-0.2085	0.4718	0.5741	0.6359	64.54	37.63	306.21	4.49	175.51	13.63	166.37
2026-07-02T13:32:55.2101484+08:00	0x08	-0.4106	0.6060	0.4241	0.5332	351.48	103.53	287.85	4.49	175.51	13.63	166.37
2026-07-02T13:32:55.2932686+08:00	0x01	-0.4068	-0.2656	0.6293	-0.6067	257.35	340.23	55.87	4.49	175.51	11.92	168.08
2026-07-02T13:32:55.3939718+08:00	0x09	0.3319	0.6343	-0.3610	0.5977	358.83	92.74	58.73	4.49	175.51	11.92	168.08
2026-07-02T13:32:55.5019617+08:00	0x04	0.3055	0.3629	-0.1231	0.8717	0.53	45.40	38.45	4.49	175.51	11.82	168.18
2026-07-02T13:32:55.5943727+08:00	0x07	-0.0207	0.6419	-0.0240	0.7662	356.37	79.91	359.95	4.49	175.51	11.82	168.18
2026-07-02T13:32:55.7122542+08:00	0x03	-0.3957	0.4359	0.5875	0.5552	90.65	3.56	287.90	6.47	173.53	11.82	168.18
2026-07-02T13:32:55.7910897+08:00	0x08	-0.4088	0.5673	0.4538	0.5525	8.42	85.03	284.88	6.47	173.53	11.82	168.18
2026-07-02T13:32:55.9419379+08:00	0x02	-0.3972	-0.3171	0.8185	-0.2679	195.90	315.19	47.05	6.47	173.53	8.28	171.72
2026-07-02T13:32:55.9608830+08:00	0x09	0.3277	0.5925	-0.3889	0.6247	348.58	80.30	60.49	6.47	173.53	8.28	171.72
2026-07-02T13:32:56.0357190+08:00	0x04	0.4964	0.3507	-0.1863	0.7720	7.87	53.77	63.77	6.47	173.53	12.74	167.26
2026-07-02T13:32:56.1047741+08:00	0x07	-0.0231	0.6185	0.0046	0.7854	358.77	76.47	357.60	6.47	173.53	12.74	167.26
2026-07-02T13:32:56.2329913+08:00	0x06	-0.2038	0.6189	0.1886	0.7347	1.68	79.74	327.79	10.27	169.73	12.74	167.26
2026-07-02T13:32:56.2560726+08:00	0x03	-0.4128	0.4540	0.5366	0.5792	71.36	18.56	285.10	2.48	177.52	12.74	167.26
2026-07-02T13:32:56.3611319+08:00	0x08	-0.3777	0.5889	0.4283	0.5719	7.39	86.54	290.53	2.48	177.52	12.74	167.26
2026-07-02T13:32:56.3843869+08:00	0x01	-0.4016	-0.2687	0.6279	-0.6101	258.58	341.67	55.84	2.48	177.52	12.82	167.18
2026-07-02T13:32:56.4458034+08:00	0x02	-0.8776	-0.1195	0.4391	-0.1509	175.23	232.24	21.71	2.48	177.52	12.82	167.18
2026-07-02T13:32:56.5284507+08:00	0x09	0.3721	0.5715	-0.4246	0.5955	347.50	79.16	68.20	2.48	177.52	12.82	167.18
2026-07-02T13:32:56.6661933+08:00	0x07	-0.0317	0.6203	0.0185	0.7835	359.40	76.76	355.84	2.48	177.52	13.23	166.77
2026-07-02T13:32:56.7820657+08:00	0x03	-0.4226	0.4473	0.5414	0.5729	76.86	12.75	284.41	2.84	177.16	13.23	166.77
